sc	rl	cl	kl	rh	ch	kh
2691	75.18	298.56	75.18	18	7	2
2692	26.05	173.13	58.31	10	5	3
2693	76.95	174.05	85.27	15	7	3
2694	52.89	263.25	292.47	14	6	7
2695	53.59	269.47	170.57	16	7	6
2696	17.28	207.28	17.28	8	5	2
2697	43.37	223.55	46.29	14	6	3
2698	46.08	368.22	245.94	11	7	6
2699	52.38	337.28	66.08	15	7	4
2700	22.29	300.59	56.29	12	8	4
2701	75.79	234.57	177.51	19	5	4
2702	36.44	189.8	168.32	12	6	4
2703	70.53	104.39	276.75	16	3	6
2704	68.06	253.5	108.78	14	6	4
2705	53.96	112.02	151.06	11	5	4
2706	10.23	227.51	168.75	8	6	4
2707	44.0	156.02	51.36	9	5	3
2708	36.46	63.64	105.74	9	3	4
2709	73.73	324.59	97.71	16	6	3
2710	61.49	183.27	61.49	16	5	2
2711	77.26	170.48	125.58	17	5	4
2712	72.72	347.16	133.06	16	7	3
2713	35.81	134.21	124.65	14	3	3
2714	65.54	223.36	65.54	16	8	2
2715	75.42	82.94	98.82	17	3	3
2716	39.2	402.18	111.5	13	9	3
2717	22.12	99.88	329.66	9	3	7
2718	48.33	219.65	48.33	11	7	2
2719	42.0	297.62	42.0	8	7	2
2720	46.76	140.92	128.44	11	5	4
2721	62.89	73.71	182.39	8	3	5
2722	7.07	118.59	89.49	6	5	3
2723	17.72	87.18	94.8	9	4	4
2724	39.13	231.17	104.77	13	5	3
2725	21.78	181.88	137.08	12	4	4
2726	43.53	272.43	143.35	12	6	4
2727	38.52	308.88	130.56	12	7	4
2728	69.32	184.7	144.4	15	5	4
2729	47.67	296.99	47.67	14	6	2
2730	52.21	205.65	100.17	11	6	3
2731	26.05	228.93	35.93	7	7	3
2732	24.02	45.0	205.5	8	4	7
2733	44.12	199.1	157.94	10	7	4
2734	73.1	181.98	166.62	17	6	6
2735	43.24	246.42	142.16	15	7	3
2736	49.01	243.33	230.41	11	6	5
2737	31.6	205.86	163.26	11	6	5
2738	24.2	128.98	124.82	9	4	4
2739	78.94	252.44	116.76	16	6	4
2740	54.37	279.39	268.87	11	8	6
2741	61.13	232.67	70.53	12	6	3
2742	46.85	149.55	236.85	12	5	7
2743	65.98	170.8	246.72	13	5	6
2744	43.42	243.02	65.96	11	6	3
2745	50.86	257.88	50.86	14	7	2
2746	20.37	183.29	148.15	8	5	5
2747	76.91	302.93	76.91	19	8	2
2748	65.96	235.18	316.88	15	6	8
2749	2.77	231.15	93.83	4	7	4
2750	67.25	415.75	67.25	14	9	2
2751	42.02	364.2	168.26	8	9	6
2752	26.21	94.67	181.75	15	4	7
2753	17.53	235.49	263.13	9	6	7
2754	23.51	210.81	204.11	7	6	5
2755	55.71	253.43	55.71	17	8	2
2756	57.83	250.51	141.51	15	5	4
2757	57.23	240.83	80.63	12	7	3
2758	41.02	154.98	789.9	11	5	18
2759	46.34	292.96	46.34	13	7	2
2760	21.65	21.65	293.05	11	2	7
2761	52.0	222.12	120.98	13	5	5
2762	60.42	60.42	392.36	11	2	8
2763	55.28	135.3	161.72	19	4	4
2764	17.77	106.93	111.73	7	5	3
2765	60.64	68.12	93.08	14	4	4
2766	43.2	203.72	130.02	11	5	4
2767	39.91	358.77	113.37	12	7	5
2768	25.09	271.01	92.35	13	6	4
2769	21.37	140.79	83.07	12	4	3
2770	51.48	296.9	74.88	15	8	3
2771	27.99	187.51	169.37	8	8	6
2772	0.42	176.04	124.92	2	6	3
2773	56.75	243.51	56.75	14	5	2
2774	34.49	140.49	103.21	10	4	4
2775	53.18	161.82	75.26	10	5	4
2776	68.16	268.24	144.98	20	7	4
2777	24.33	371.99	129.41	8	9	5
2778	53.05	149.77	327.59	13	5	8
2779	71.47	157.49	184.91	15	6	4
2780	11.96	239.5	75.88	7	7	3
2781	55.83	228.31	138.75	12	6	4
2782	35.11	211.99	90.37	7	6	3
2783	33.79	128.87	33.79	12	3	2
2784	11.53	247.47	72.23	7	5	3
2785	56.57	185.77	259.79	15	5	5
2786	65.52	260.2	65.52	13	7	2
2787	52.61	369.05	161.27	9	7	5
2788	53.68	156.82	111.2	13	6	3
2789	31.15	136.57	310.59	11	4	8
2790	34.69	192.29	95.89	9	6	4
2791	37.22	128.32	116.78	10	5	4
2792	15.07	151.27	39.99	9	4	3
2793	19.46	245.02	120.64	8	6	3
2794	43.63	268.43	159.63	8	8	5
2795	14.04	292.76	104.46	9	8	3
2796	40.55	173.01	299.19	10	5	8
2797	50.34	221.58	104.62	15	5	3
2798	66.34	137.24	85.02	20	6	3
2799	82.4	162.9	205.62	19	4	4
2800	59.89	179.67	129.37	14	7	5
2801	28.06	112.74	119.52	10	3	4
2802	55.14	136.4	61.54	11	4	3
2803	10.73	260.43	134.49	6	7	4
2804	48.92	166.6	152.02	11	7	6
2805	48.29	468.73	84.27	12	9	3
2806	27.66	311.94	93.72	12	8	3
2807	69.63	127.13	93.03	15	5	3
2808	54.51	143.87	108.05	13	5	5
2809	10.21	154.21	37.81	7	6	3
2810	66.08	269.74	66.08	13	7	2
2811	54.61	174.39	54.61	11	5	2
2812	62.52	348.72	62.52	12	8	2
2813	65.1	140.14	65.1	15	5	2
2814	36.29	55.33	94.67	10	3	3
2815	35.89	121.23	175.07	9	5	5
2816	46.91	203.55	109.63	11	5	3
2817	58.85	214.95	124.17	11	5	4
2818	75.45	205.03	93.99	16	4	3
2819	23.69	324.09	100.23	8	7	3
2820	0.46	200.02	191.02	2	6	5
2821	32.93	155.41	314.55	10	4	7
2822	57.92	101.22	122.18	14	3	3
2823	57.79	213.57	137.35	8	6	4
2824	13.58	115.32	117.44	8	5	3
2825	46.35	97.75	159.81	11	4	4
2826	39.49	98.43	39.49	9	5	2
2827	29.32	272.62	284.44	14	8	9
2828	44.57	185.61	110.65	13	7	4
2829	49.63	177.67	67.45	13	5	3
2830	7.78	228.14	7.78	7	6	2
2831	6.89	140.95	197.65	6	4	5
2832	60.03	318.45	158.95	14	8	3
2833	54.74	414.34	108.18	14	7	3
2834	17.92	256.34	17.92	10	8	2
2835	59.5	143.38	59.5	14	4	2
2836	31.89	124.47	317.35	10	4	12
2837	58.07	305.23	58.07	14	7	2
2838	61.47	204.95	225.89	14	5	5
2839	59.55	297.53	112.09	13	6	3
2840	39.57	257.45	39.57	15	7	2
2841	47.4	155.76	180.08	12	7	5
2842	35.81	167.51	90.09	11	4	3
2843	45.67	97.25	64.05	9	4	3
2844	71.62	113.08	215.5	18	5	5
2845	37.23	142.29	188.19	14	4	5
2846	18.32	236.16	155.98	9	7	4
2847	46.3	281.12	184.88	15	7	4
2848	11.78	355.3	56.0	11	7	3
2849	30.7	172.88	30.7	12	5	2
2850	20.05	151.11	117.49	13	4	3
2851	46.95	193.95	46.95	13	6	2
2852	39.57	158.49	129.89	13	4	5
2853	49.14	411.96	49.14	11	8	2
2854	45.6	304.18	69.0	13	7	3
2855	67.32	155.16	90.72	13	5	3
2856	38.51	283.59	38.51	7	6	2
2857	62.38	198.54	121.82	15	5	3
2858	43.1	338.7	43.1	10	9	2
2859	54.55	262.27	54.55	15	6	2
2860	20.9	103.42	164.18	9	4	6
2861	53.98	271.64	53.98	13	10	2
2862	44.26	208.32	64.6	9	7	3
2863	50.72	198.6	120.92	13	6	4
2864	26.92	93.44	130.98	9	3	5
2865	65.52	194.38	97.04	15	5	3
2866	57.76	188.96	72.14	11	7	3
2867	36.72	67.62	91.0	9	3	3
2868	29.65	161.39	106.69	13	5	4
2869	19.67	177.77	64.55	7	5	3
2870	57.96	310.06	112.24	14	7	3
2871	69.06	300.3	69.06	15	8	2
2872	49.66	109.62	71.44	11	5	4
2873	59.77	87.37	235.03	11	3	7
2874	39.05	275.85	93.33	8	9	3
2875	28.64	202.76	52.04	9	6	3
2876	36.99	212.75	208.81	12	6	6
2877	46.45	212.01	163.41	12	5	6
2878	41.5	204.4	168.88	16	5	4
2879	56.42	246.64	172.42	16	6	5
2880	12.66	251.68	63.42	6	7	3
2881	5.69	144.13	193.59	3	6	8
2882	17.64	188.74	323.24	9	6	8
2883	18.49	118.21	261.57	10	3	5
2884	64.22	227.06	114.22	15	6	4
2885	67.07	137.79	397.35	17	5	11
2886	25.03	247.63	168.67	9	7	4
2887	58.53	266.39	58.53	11	7	2
2888	35.54	210.74	153.08	10	7	4
2889	52.23	124.95	148.11	12	5	7
2890	20.41	215.67	720.77	9	5	13
2891	63.37	251.85	408.77	10	9	11
2892	66.01	314.55	84.35	15	7	3
2893	43.03	186.91	178.89	7	5	5
2894	10.93	285.73	151.93	6	7	7
2895	46.09	289.41	46.09	7	7	2
2896	64.18	140.32	294.38	14	4	6
2897	69.67	264.61	69.67	15	6	2
2898	41.5	173.96	86.32	10	5	3
2899	32.74	381.64	88.0	6	8	3
2900	26.06	217.42	171.68	9	8	4
2901	20.66	257.84	104.7	11	6	3
2902	66.04	220.1	66.04	16	6	2
2903	60.04	235.56	60.04	13	8	2
2904	43.77	185.69	649.75	10	5	16
2905	22.02	114.42	22.02	11	6	2
2906	40.83	75.65	98.49	11	3	4
2907	4.7	166.08	4.7	4	6	2
2908	61.47	82.01	109.35	18	4	3
2909	17.43	331.61	47.21	8	8	4
2910	48.4	180.9	110.24	12	5	3
2911	62.94	83.34	166.24	12	4	6
2912	37.31	176.37	85.19	12	5	3
2913	12.16	112.02	88.94	5	4	4
2914	39.01	359.39	314.47	11	8	8
2915	37.43	260.17	37.43	8	7	2
2916	52.09	119.47	52.09	16	5	2
2917	44.33	227.65	50.57	10	6	3
2918	50.47	168.25	60.87	16	5	3
2919	19.02	308.7	97.88	8	7	3
2920	48.25	278.09	105.99	9	7	4
2921	57.9	147.54	399.88	9	5	9
2922	35.45	225.37	96.51	9	5	4
2923	57.58	241.78	154.46	13	6	4
2924	52.25	216.45	58.03	14	5	3
2925	28.8	352.22	221.88	11	8	6
2926	33.85	139.13	81.73	9	5	3
2927	9.38	241.72	112.74	8	6	4
2928	6.19	260.31	6.19	7	7	2
2929	8.75	240.51	67.67	3	6	3
2930	22.87	211.03	180.07	7	7	5
2931	71.64	201.76	71.64	16	6	2
2932	45.51	196.69	102.89	13	5	3
2933	16.84	115.84	75.76	8	4	3
