sc	rl	cl	kl	rh	ch	kh
277	67.38	251.02	106.76	15	6	4
278	44.08	217.56	44.08	9	7	2
279	37.94	320.92	37.94	11	6	2
280	31.95	115.41	152.29	14	4	5
281	62.51	318.43	461.03	15	8	13
282	73.62	84.08	73.62	15	3	2
283	41.06	348.0	1075.64	12	8	26
284	35.58	67.34	406.42	11	3	12
285	28.23	231.01	821.09	11	7	22
286	55.29	159.79	131.81	12	5	4
287	68.26	197.58	127.5	15	7	4
288	18.52	305.26	82.84	11	8	3
289	60.3	243.48	178.06	15	8	5
290	45.98	148.96	299.7	9	6	8
291	45.62	195.22	1871.08	12	5	45
292	24.14	275.08	230.16	7	7	7
293	49.62	397.28	49.62	13	9	2
294	11.11	307.31	154.91	9	8	5
295	35.64	195.2	1391.8	8	5	32
296	68.19	203.49	152.03	12	6	4
297	24.16	223.58	327.46	5	6	7
298	14.08	250.94	156.18	8	6	4
299	60.31	174.21	259.85	12	5	8
300	52.58	220.36	160.06	11	6	6
301	33.39	259.57	46.39	11	7	3
302	64.0	94.64	335.48	12	4	9
303	71.05	228.91	324.53	18	7	8
304	52.78	226.44	312.2	11	7	9
305	21.42	242.36	21.42	5	7	2
306	11.87	194.19	224.39	7	6	7
307	57.2	210.92	1193.82	17	5	30
308	59.4	218.04	1349.68	12	5	32
309	56.93	164.49	56.93	11	5	2
310	41.05	257.73	1422.27	11	8	27
311	28.24	209.2	1259.1	5	7	32
312	53.42	198.0	169.12	9	5	4
313	8.06	352.18	580.64	6	7	13
314	68.08	177.9	68.08	14	6	2
315	38.39	134.71	170.83	12	4	6
316	39.13	266.15	181.93	12	6	5
317	45.76	218.54	45.76	9	7	2
318	62.27	175.81	1447.65	13	4	35
319	21.96	229.72	21.96	9	7	2
320	34.3	196.14	34.3	11	6	2
321	46.5	163.0	65.58	9	5	3
322	27.6	156.7	72.44	10	5	3
323	65.72	360.86	166.66	14	9	4
324	16.69	192.63	111.03	6	7	4
325	44.9	260.0	119.18	14	7	4
326	38.52	133.62	487.08	8	3	13
327	59.62	198.64	297.36	13	7	6
328	57.83	239.13	226.41	16	7	5
329	42.8	285.58	703.28	11	6	17
330	42.65	370.23	201.31	13	7	5
331	57.6	203.3	240.12	11	5	7
332	23.0	221.04	1501.44	8	7	35
333	45.52	192.6	288.28	11	6	8
334	52.92	77.0	356.62	12	3	10
335	17.91	243.77	708.97	9	6	18
336	59.17	138.39	178.89	16	5	4
337	63.18	305.48	137.46	18	7	4
338	25.67	250.51	136.91	10	8	4
339	60.8	186.18	457.18	13	6	13
340	34.51	264.13	271.27	13	6	7
341	27.02	263.6	62.28	10	6	3
342	61.42	126.28	301.1	13	3	9
343	31.24	231.7	85.1	7	7	3
344	62.5	240.72	123.32	14	6	4
345	53.97	186.65	506.17	14	6	11
346	66.05	245.11	564.97	15	6	15
347	39.64	269.64	105.44	11	6	4
348	54.86	360.68	899.22	11	8	23
349	20.68	175.02	486.86	10	4	14
350	54.03	156.89	188.53	11	6	4
351	20.57	162.03	175.95	12	6	6
352	45.24	197.98	222.52	12	5	6
353	25.54	135.4	448.74	9	4	12
354	49.24	127.44	216.04	8	6	5
355	65.45	120.91	90.01	13	5	4
356	48.59	315.43	48.59	13	9	2
357	4.67	179.31	622.17	4	6	14
358	41.46	185.46	92.78	9	5	3
359	65.92	81.0	218.42	13	4	7
360	40.43	290.23	307.99	11	7	9
361	55.39	182.41	105.45	14	4	4
362	49.82	338.18	128.0	10	8	3
363	50.87	184.17	50.87	13	4	2
364	39.55	295.21	325.63	10	7	7
365	27.13	464.09	200.29	10	8	5
366	71.19	182.35	112.51	15	5	4
367	28.08	297.58	190.08	11	7	5
368	58.46	185.48	169.4	14	6	4
369	60.48	279.9	446.26	10	6	11
370	38.31	225.97	51.29	8	7	3
371	37.3	161.06	102.04	12	5	4
372	47.21	175.85	120.01	11	6	3
373	49.21	159.31	49.21	12	4	2
374	50.79	195.41	63.79	13	7	3
375	64.69	324.41	201.21	12	8	5
376	56.36	125.26	107.62	12	4	4
377	51.22	221.96	205.46	10	6	5
378	68.52	193.78	214.88	14	7	6
379	27.17	199.89	74.47	12	6	3
380	53.54	178.64	138.94	13	5	4
381	46.45	126.59	46.45	10	5	2
382	58.06	121.18	58.06	12	4	2
383	69.29	115.99	257.15	17	4	8
384	41.0	163.8	125.08	10	6	5
385	33.57	149.03	935.49	8	7	21
386	34.02	260.7	399.2	5	7	9
387	37.7	243.44	108.82	14	8	4
388	28.73	103.91	155.71	8	4	5
389	34.86	250.24	34.86	13	7	2
390	57.32	235.36	97.2	13	7	4
391	35.27	205.93	185.77	6	6	6
392	41.7	218.82	41.7	10	5	2
393	49.43	140.15	49.43	12	4	2
394	53.55	269.11	92.93	11	7	4
395	35.73	245.23	135.65	9	6	4
396	28.25	236.33	344.03	12	6	11
397	37.28	205.4	106.74	12	6	5
398	48.56	153.1	122.12	10	6	4
399	60.97	127.45	585.17	13	3	17
400	21.18	199.9	21.18	6	5	2
401	21.36	143.62	254.7	6	6	7
402	11.51	231.39	240.97	6	7	6
403	41.45	253.09	93.43	13	8	3
404	36.99	303.73	321.57	11	7	9
405	46.35	89.81	250.73	14	3	6
406	29.26	58.84	421.3	11	3	11
407	50.25	302.17	87.93	15	8	3
408	57.11	117.15	115.33	14	5	3
409	45.89	319.73	45.89	14	7	2
410	37.36	60.58	37.36	10	4	2
411	49.94	186.68	264.56	8	7	8
412	53.3	96.86	155.34	14	4	4
413	43.54	313.74	56.54	9	9	3
414	57.75	300.23	630.27	12	8	15
415	50.43	322.83	1367.23	14	8	34
416	59.33	286.95	320.15	14	7	10
417	57.14	322.48	237.22	9	8	6
418	67.55	151.99	316.61	18	6	7
419	55.33	384.45	96.65	15	9	4
420	11.32	271.44	137.46	8	7	3
421	35.26	133.32	117.46	10	4	3
422	29.52	200.92	117.82	10	6	6
423	53.5	157.06	53.5	13	4	2
424	70.01	305.97	76.57	15	8	3
425	41.99	221.05	135.01	10	5	4
426	9.28	281.32	141.86	8	6	4
427	51.09	114.17	673.87	15	3	15
428	29.27	191.53	29.27	14	6	2
429	60.84	214.9	131.7	14	7	4
