sc	rl	cl	kl	rh	ch	kh
0	51.27	106.57	1139.35	12	4	26
1	2.11	417.63	3313.33	3	9	73
2	53.33	202.23	13501.67	10	5	295
3	66.38	265.4	7512.06	13	6	167
4	26.63	226.85	697.85	13	6	16
5	53.44	291.12	3018.78	9	7	79
6	30.2	161.48	4887.54	9	5	106
7	57.17	146.67	4775.83	11	5	107
8	61.44	219.36	1590.32	14	6	40
9	2.84	111.58	1327.66	5	6	32
10	32.61	248.17	7337.47	9	8	174
11	35.28	224.16	2959.96	8	6	67
12	9.82	234.74	108.84	5	7	4
13	66.2	184.02	108.62	13	6	4
14	64.53	190.67	2493.35	13	5	54
15	43.61	253.45	198.05	9	7	7
16	49.88	197.22	1948.58	12	7	47
17	77.68	274.42	92.34	16	7	3
18	59.75	173.65	277.83	11	6	10
19	31.58	176.96	938.24	13	8	24
20	47.99	305.15	3716.65	10	8	84
21	64.69	212.27	548.05	14	6	13
22	41.53	276.25	157.33	10	8	5
23	35.61	226.95	4371.67	8	8	101
24	36.16	228.4	195.42	7	6	6
25	27.07	217.55	1541.17	13	6	37
26	45.99	110.47	3400.73	10	5	77
27	60.61	359.47	1531.93	12	8	37
28	33.33	194.03	117.11	8	6	4
29	45.39	183.19	49.41	14	5	3
30	56.06	146.58	3854.18	12	4	89
31	72.77	134.93	2345.93	14	5	56
32	64.36	141.54	3224.5	14	5	74
33	32.7	285.04	1008.02	8	7	25
34	28.49	245.85	4346.71	10	5	95
35	50.83	84.37	3036.43	14	4	71
36	36.16	300.82	161.24	11	9	5
37	57.84	282.38	57.84	13	7	2
38	68.09	217.59	1315.27	15	7	28
39	54.33	79.23	54.33	17	3	2
40	58.86	216.08	1828.36	16	7	42
41	5.52	80.44	162.46	6	3	5
42	70.98	219.02	2197.36	18	7	47
43	72.84	297.34	371.54	16	6	11
44	48.71	93.75	51.75	13	5	3
45	30.45	98.69	170.15	13	4	4
46	23.07	285.89	123.07	11	8	4
47	18.31	141.73	2194.39	10	4	42
48	17.65	88.01	54.23	9	3	3
49	58.21	180.67	1665.79	13	5	42
50	55.58	188.04	1418.34	13	7	34
51	67.35	189.69	3093.29	16	4	70
52	19.46	290.44	1515.96	13	7	36
53	28.72	245.08	41.88	6	6	4
54	56.17	237.31	1241.43	16	5	31
55	42.55	196.59	358.19	12	5	7
56	55.54	133.86	331.48	12	5	7
57	19.37	82.43	19.37	12	5	2
58	65.71	171.17	850.59	13	6	20
59	53.17	308.81	2040.59	14	7	50
60	31.81	149.67	1313.51	12	5	30
61	78.1	266.02	78.1	16	7	2
62	65.05	255.01	262.81	13	7	8
63	49.33	363.81	918.19	12	7	17
64	29.04	278.52	1051.2	9	7	26
65	49.15	264.33	163.11	13	6	5
66	43.57	263.05	178.97	13	8	5
67	42.73	177.55	83.43	10	5	4
68	14.81	178.55	401.31	8	5	10
69	40.46	321.14	1270.18	10	7	28
70	41.32	297.02	972.54	11	7	22
71	35.04	295.82	1803.56	7	7	39
72	44.8	129.04	482.96	10	6	11
73	50.33	273.21	470.55	11	6	11
74	44.21	49.23	759.95	15	3	18
75	53.46	178.02	137.14	18	5	4
76	79.89	253.09	210.41	20	7	5
77	27.23	240.59	108.43	9	7	4
78	35.36	135.1	98.26	8	4	4
79	40.33	202.17	841.11	9	6	20
80	50.81	252.87	919.67	13	7	17
81	10.23	213.87	238.73	8	5	7
82	49.62	121.86	1058.8	13	4	26
83	53.71	169.67	1475.55	9	5	35
84	62.21	236.21	314.81	17	7	8
85	12.18	126.32	984.82	6	5	23
86	10.76	449.52	16.52	8	9	3
87	60.88	286.18	763.8	13	6	17
88	66.47	254.59	97.99	15	6	3
89	73.74	129.44	573.06	18	5	13
90	28.35	260.73	122.05	12	8	3
91	25.23	107.95	1681.05	8	5	39
92	39.93	255.29	1909.31	10	7	40
93	61.4	290.44	337.36	14	6	7
94	26.38	127.44	251.6	9	5	6
95	50.08	304.72	745.6	14	8	17
96	61.83	212.79	161.83	17	6	4
97	69.08	96.84	392.82	16	4	9
98	28.59	293.15	28.59	11	7	2
99	22.33	188.33	805.71	5	6	18
100	55.02	139.66	1650.72	15	4	42
101	36.73	203.51	1050.71	15	6	21
102	21.39	190.45	218.27	6	6	6
103	37.94	151.48	790.96	8	4	21
