cycle	rlat	clat	klat	rhop	chop	khop	hopcat	latcat
996	23.23	23.23	23.23	5	2	2	2	2
997	12.87	12.87	12.87	4	2	2	2	1
998	30.73	104.71	30.73	5	4	2	1	2
999	5.08	5.08	5.08	2	2	2	2	1
1000	42.17	42.17	42.17	5	2	2	2	3
1001	19.67	19.67	19.67	4	2	2	3	2
1002	39.79	39.79	39.79	5	2	2	3	3
1003	21.06	28.16	21.06	4	3	2	2	2
1004	20.97	38.41	20.97	4	3	2	3	2
1005	22.09	22.09	22.09	3	2	2	1	2
1006	16.82	35.46	16.82	3	3	2	3	1
1007	18.06	18.06	18.06	4	2	2	3	2
1008	20.97	38.41	20.97	4	3	2	3	2
1009	27.67	56.67	27.67	3	3	2	3	2
1010	24.61	24.61	24.61	5	2	2	3	2
1011	5.08	5.08	5.08	2	2	2	2	1
1012	21.06	28.16	21.06	4	3	2	2	2
1013	30.73	104.71	30.73	5	4	2	1	2
1014	22.97	41.61	22.97	3	4	2	2	2
1015	27.67	56.67	27.67	3	3	2	3	2
1016	3.55	98.23	3.55	2	3	2	1	1
1017	4.15	4.15	4.15	2	2	2	1	1
1018	39.79	39.79	39.79	5	2	2	3	3
1019	31.23	31.23	31.23	4	2	2	3	2
1020	3.56	42.9	3.56	2	3	2	2	1
1021	8.72	8.72	8.72	3	2	2	2	1
1022	32.29	32.29	32.29	5	3	2	3	2
1023	16.82	71.06	16.82	3	4	2	3	1
1024	16.18	16.18	16.18	3	3	2	2	1
1025	8.72	8.72	8.72	3	2	2	2	1
1026	22.09	68.55	22.09	3	4	2	1	2
1027	29.69	29.69	29.69	6	2	2	2	2
1028	10.35	18.65	10.35	2	3	2	2	1
1029	31.23	31.23	31.23	4	2	2	3	2
1030	25.65	25.65	25.65	4	2	2	1	2
1031	27.12	68.04	27.12	4	4	2	1	2
1032	3.56	3.56	3.56	2	2	2	2	1
1033	47.34	47.34	47.34	6	2	2	2	3
1034	26.78	60.42	26.78	6	3	2	2	2
