cycle	rlat	clat	klat	rhop	chop	khop	hopcat	latcat
2002	15.05	69.29	15.05	2	3	2	2	1
2003	38.02	38.02	38.02	4	2	2	1	3
2004	3.56	3.56	3.56	2	2	2	2	1
2005	42.17	42.17	42.17	5	2	2	2	3
2006	25.65	85.03	25.65	4	4	2	1	2
2007	47.34	47.34	47.34	6	2	2	2	3
2008	13.91	22.21	13.91	3	3	2	3	1
2009	42.17	42.17	42.17	5	2	2	2	3
2010	5.17	34.17	5.17	2	3	2	3	1
2011	31.23	31.23	31.23	4	2	2	3	2
2012	5.08	5.08	5.08	2	2	2	2	1
2013	11.74	20.04	11.74	2	3	2	3	1
2014	22.09	22.09	22.09	3	2	2	1	2
2015	27.17	45.81	27.17	4	3	2	2	2
2016	27.67	56.67	27.67	3	3	2	3	2
2017	42.17	42.17	42.17	5	2	2	2	3
2018	3.56	42.9	3.56	2	3	2	2	1
2019	38.02	38.02	38.02	4	2	2	1	3
2020	23.23	78.57	23.23	5	3	2	2	2
2021	13.91	32.55	13.91	3	3	2	3	1
2022	30.73	104.71	30.73	5	4	2	1	2
2023	3.55	3.55	3.55	2	2	2	1	1
2024	8.72	8.72	8.72	3	2	2	2	1
2025	20.97	38.41	20.97	4	3	2	3	2
2026	12.87	12.87	12.87	4	3	2	2	1
2027	9.32	9.32	9.32	3	2	2	2	1
2028	19.67	19.67	19.67	4	2	2	3	2
2029	20.97	38.41	20.97	4	3	2	3	2
2030	27.67	56.67	27.67	3	3	2	3	2
2031	23.23	78.57	23.23	5	3	2	2	2
2032	26.78	60.42	26.78	6	3	2	2	2
2033	26.14	33.24	26.14	5	3	2	1	2
2034	15.89	15.89	15.89	3	2	2	2	1
2035	3.56	42.9	3.56	2	3	2	2	1
2036	12.62	66.96	12.62	2	4	2	1	1
2037	23.23	78.57	23.23	5	3	2	2	2
2038	21.06	48.88	21.06	4	3	2	2	2
2039	29.69	29.69	29.69	6	2	2	2	2
2040	32.29	32.29	32.29	5	2	2	3	2
2041	21.06	28.16	21.06	4	3	2	2	2
2042	15.89	15.89	15.89	3	2	2	2	1
2043	32.29	32.29	32.29	5	2	2	3	2
2044	22.97	41.61	22.97	3	4	2	2	2
2045	20.97	38.41	20.97	4	3	2	3	2
2046	23.22	23.22	23.22	5	2	2	3	2
2047	27.67	56.67	27.67	3	3	2	3	2
2048	8.72	8.72	8.72	3	2	2	2	1
2049	12.62	66.96	12.62	2	4	2	1	1
2050	26.78	60.42	26.78	6	3	2	2	2
2051	5.17	34.17	5.17	2	3	2	3	1
2052	11.74	20.04	11.74	2	3	2	3	1
2053	27.17	27.17	27.17	4	3	2	2	2
2054	5.08	54.3	5.08	2	3	2	2	1
2055	27.67	34.79	27.67	3	3	2	3	2
2056	16.18	16.18	16.18	3	3	2	2	1
2057	22.09	68.55	22.09	3	4	2	1	2
2058	18.06	69.14	18.06	4	4	2	3	2
2059	54.84	109.08	54.84	6	4	2	2	3
2060	21.06	48.88	21.06	4	3	2	2	2
2061	19.67	19.67	19.67	4	2	2	3	2
2062	35.84	35.84	35.84	6	3	2	3	3
2063	27.67	34.79	27.67	3	3	2	3	2
2064	15.89	33.33	15.89	3	3	2	2	1
2065	26.14	26.14	26.14	5	2	2	1	2
2066	29.69	29.69	29.69	6	2	2	2	2
2067	39.79	39.79	39.79	5	2	2	3	3
2068	31.23	31.23	31.23	4	2	2	3	2
2069	24.61	24.61	24.61	5	2	2	3	2
2070	13.91	22.21	13.91	3	3	2	3	1
2071	23.22	23.22	23.22	5	2	2	3	2
2072	9.32	9.32	9.32	3	2	2	2	1
2073	9.32	9.32	9.32	3	2	2	2	1
2074	22.09	22.09	22.09	3	2	2	1	2
2075	42.17	42.17	42.17	5	2	2	2	3
2076	15.05	47.41	15.05	2	4	2	2	1
2077	42.17	42.17	42.17	5	2	2	2	3
2078	8.72	8.72	8.72	3	2	2	2	1
2079	18.06	18.06	18.06	4	2	2	3	2
2080	15.05	69.29	15.05	2	3	2	2	1
2081	12.62	12.62	12.62	2	2	2	1	1
2082	26.14	33.24	26.14	5	3	2	1	2
2083	30.73	30.73	30.73	5	2	2	1	2
2084	23.22	46.7	23.22	5	3	2	3	2
2085	49.76	58.06	49.76	5	3	2	3	3
2086	14.5	55.42	14.5	3	4	2	2	1
2087	50.89	50.89	50.89	7	2	2	1	3
2088	5.08	54.3	5.08	2	3	2	2	1
2089	27.67	34.79	27.67	3	3	2	3	2
2090	29.69	29.69	29.69	6	2	2	2	2
2091	20.97	66.91	20.97	4	3	2	3	2
2092	15.05	47.41	15.05	2	4	2	2	1
2093	18.06	18.06	18.06	4	2	2	3	2
2094	20.97	66.91	20.97	4	3	2	3	2
2095	21.06	28.16	21.06	4	3	2	2	2
2096	25.65	85.03	25.65	4	4	2	1	2
2097	23.23	78.57	23.23	5	3	2	2	2
2098	50.89	50.89	50.89	7	2	2	1	3
2099	3.55	98.23	3.55	2	3	2	1	1
2100	11.74	58.2	11.74	2	4	2	3	1
2101	23.22	23.22	23.22	5	2	2	3	2
2102	16.82	71.06	16.82	3	4	2	3	1
2103	24.61	24.61	24.61	5	2	2	3	2
2104	3.55	98.23	3.55	2	3	2	1	1
2105	18.06	69.14	18.06	4	4	2	3	2
2106	18.06	18.06	18.06	4	2	2	3	2
2107	3.56	3.56	3.56	2	2	2	2	1
2108	23.22	23.22	23.22	5	2	2	3	2
2109	30.73	30.73	30.73	5	2	2	1	2
2110	23.23	78.57	23.23	5	3	2	2	2
2111	42.17	42.17	42.17	5	2	2	2	3
2112	22.09	22.09	22.09	3	2	2	1	2
2113	12.62	12.62	12.62	2	2	2	1	1
2114	30.73	104.71	30.73	5	4	2	1	2
2115	26.78	82.12	26.78	6	3	2	2	2
2116	23.22	23.22	23.22	5	2	2	3	2
2117	35.84	59.32	35.84	6	3	2	3	3
2118	3.55	98.23	3.55	2	3	2	1	1
2119	27.67	56.67	27.67	3	3	2	3	2
2120	19.67	19.67	19.67	4	2	2	3	2
2121	5.17	34.17	5.17	2	3	2	3	1
2122	10.35	18.65	10.35	2	3	2	2	1
2123	27.12	68.04	27.12	4	4	2	1	2
2124	25.65	85.03	25.65	4	4	2	1	2
2125	11.74	58.2	11.74	2	4	2	3	1
2126	54.84	109.08	54.84	6	4	2	2	3
2127	3.56	3.56	3.56	2	2	2	2	1
2128	30.73	30.73	30.73	5	2	2	1	2
2129	15.89	33.33	15.89	3	3	2	2	1
2130	32.29	32.29	32.29	5	2	2	3	2
2131	9.32	38.32	9.32	3	4	2	2	1
2132	21.06	48.88	21.06	4	3	2	2	2
2133	38.02	38.02	38.02	4	2	2	1	3
2134	26.78	60.42	26.78	6	3	2	2	2
2135	4.15	43.49	4.15	2	4	2	1	1
2136	16.18	16.18	16.18	3	3	2	2	1
2137	12.87	12.87	12.87	4	3	2	2	1
2138	3.56	42.9	3.56	2	3	2	2	1
2139	15.05	47.41	15.05	2	4	2	2	1
2140	24.61	24.61	24.61	5	2	2	3	2
2141	19.67	19.67	19.67	4	2	2	3	2
2142	20.97	38.41	20.97	4	3	2	3	2
2143	21.06	28.16	21.06	4	3	2	2	2
2144	23.23	78.57	23.23	5	3	2	2	2
2145	4.15	43.49	4.15	2	4	2	1	1
2146	20.97	38.41	20.97	4	3	2	3	2
2147	12.62	66.96	12.62	2	4	2	1	1
2148	39.79	39.79	39.79	5	2	2	3	3
2149	32.29	32.29	32.29	5	3	2	3	2
2150	34.71	44.87	34.71	4	3	2	2	3
2151	26.78	60.42	26.78	6	3	2	2	2
2152	3.55	3.55	3.55	2	2	2	1	1
2153	4.15	43.49	4.15	2	4	2	1	1
2154	47.34	47.34	47.34	6	2	2	2	3
2155	10.35	18.65	10.35	2	3	2	2	1
2156	29.69	29.69	29.69	6	2	2	2	2
2157	31.23	31.23	31.23	4	2	2	3	2
2158	26.14	26.14	26.14	5	2	2	1	2
2159	54.84	73.48	54.84	6	3	2	2	3
2160	5.08	5.08	5.08	2	2	2	2	1
2161	22.09	22.09	22.09	3	2	2	1	2
2162	31.23	31.23	31.23	4	2	2	3	2
2163	39.79	39.79	39.79	5	2	2	3	3
2164	22.97	31.27	22.97	3	3	2	2	2
2165	25.65	25.65	25.65	4	2	2	1	2
2166	25.65	25.65	25.65	4	2	2	1	2
2167	50.89	50.89	50.89	7	2	2	1	3
2168	21.06	28.16	21.06	4	3	2	2	2
2169	22.09	22.09	22.09	3	2	2	1	2
2170	12.62	66.96	12.62	2	4	2	1	1
2171	26.14	26.14	26.14	5	2	2	1	2
2172	11.74	20.04	11.74	2	3	2	3	1
2173	27.12	27.12	27.12	4	2	2	1	2
2174	22.09	68.55	22.09	3	4	2	1	2
2175	27.12	68.04	27.12	4	4	2	1	2
2176	54.84	109.08	54.84	6	4	2	2	3
2177	15.89	15.89	15.89	3	2	2	2	1
2178	25.65	25.65	25.65	4	2	2	1	2
2179	12.62	66.96	12.62	2	4	2	1	1
2180	20.97	38.41	20.97	4	3	2	3	2
2181	12.87	12.87	12.87	4	2	2	2	1
2182	50.89	50.89	50.89	7	2	2	1	3
2183	16.18	70.52	16.18	3	3	2	2	1
2184	39.79	39.79	39.79	5	2	2	3	3
2185	23.22	23.22	23.22	5	2	2	3	2
2186	47.34	47.34	47.34	6	2	2	2	3
2187	39.79	39.79	39.79	5	2	2	3	3
2188	22.97	31.27	22.97	3	3	2	2	2
2189	26.14	26.14	26.14	5	2	2	1	2
2190	50.89	50.89	50.89	7	3	2	1	3
2191	22.97	41.61	22.97	3	4	2	2	2
2192	4.15	43.49	4.15	2	4	2	1	1
2193	50.89	50.89	50.89	7	3	2	1	3
2194	18.06	18.06	18.06	4	2	2	3	2
2195	26.14	26.14	26.14	5	2	2	1	2
2196	32.29	32.29	32.29	5	2	2	3	2
2197	35.84	35.84	35.84	6	3	2	3	3
2198	27.12	27.12	27.12	4	2	2	1	2
2199	10.35	28.99	10.35	2	3	2	2	1
2200	38.02	38.02	38.02	4	2	2	1	3
2201	24.61	24.61	24.61	5	2	2	3	2
2202	19.67	19.67	19.67	4	2	2	3	2
2203	23.23	78.57	23.23	5	3	2	2	2
2204	18.06	18.06	18.06	4	2	2	3	2
2205	12.87	12.87	12.87	4	3	2	2	1
2206	27.12	68.04	27.12	4	4	2	1	2
2207	26.14	26.14	26.14	5	2	2	1	2
2208	34.71	44.87	34.71	4	3	2	2	3
2209	26.14	33.24	26.14	5	3	2	1	2
2210	20.97	66.91	20.97	4	3	2	3	2
2211	27.67	34.79	27.67	3	3	2	3	2
2212	8.72	8.72	8.72	3	2	2	2	1
2213	4.15	4.15	4.15	2	2	2	1	1
2214	10.35	18.65	10.35	2	3	2	2	1
2215	5.08	5.08	5.08	2	2	2	2	1
2216	42.17	42.17	42.17	5	2	2	2	3
2217	9.32	9.32	9.32	3	2	2	2	1
2218	5.08	5.08	5.08	2	2	2	2	1
2219	27.67	56.67	27.67	3	3	2	3	2
2220	3.56	42.9	3.56	2	3	2	2	1
2221	8.72	8.72	8.72	3	2	2	2	1
2222	5.17	34.17	5.17	2	3	2	3	1
2223	49.76	58.06	49.76	5	3	2	3	3
2224	26.14	26.14	26.14	5	2	2	1	2
2225	32.29	32.29	32.29	5	2	2	3	2
2226	3.55	3.55	3.55	2	2	2	1	1
2227	42.17	42.17	42.17	5	2	2	2	3
2228	25.65	25.65	25.65	4	2	2	1	2
2229	12.62	12.62	12.62	2	2	2	1	1
2230	12.87	12.87	12.87	4	3	2	2	1
2231	9.32	9.32	9.32	3	2	2	2	1
2232	5.08	5.08	5.08	2	2	2	2	1
2233	4.15	43.49	4.15	2	4	2	1	1
2234	11.74	20.04	11.74	2	3	2	3	1
2235	49.76	56.88	49.76	5	3	2	3	3
2236	12.87	12.87	12.87	4	2	2	2	1
2237	23.22	46.7	23.22	5	3	2	3	2
2238	24.61	24.61	24.61	5	2	2	3	2
2239	31.23	31.23	31.23	4	2	2	3	2
2240	19.67	19.67	19.67	4	2	2	3	2
2241	42.17	42.17	42.17	5	2	2	2	3
2242	25.65	25.65	25.65	4	2	2	1	2
2243	50.89	50.89	50.89	7	3	2	1	3
2244	21.06	28.16	21.06	4	3	2	2	2
2245	49.76	56.88	49.76	5	3	2	3	3
2246	20.97	66.91	20.97	4	3	2	3	2
2247	20.97	66.91	20.97	4	3	2	3	2
2248	32.29	32.29	32.29	5	3	2	3	2
2249	39.79	39.79	39.79	5	2	2	3	3
2250	49.76	58.06	49.76	5	3	2	3	3
2251	12.87	12.87	12.87	4	3	2	2	1
2252	16.18	16.18	16.18	3	3	2	2	1
2253	10.35	28.99	10.35	2	3	2	2	1
2254	15.05	47.41	15.05	2	4	2	2	1
2255	38.02	46.32	38.02	4	3	2	1	3
2256	35.84	59.32	35.84	6	3	2	3	3
2257	12.62	12.62	12.62	2	2	2	1	1
2258	13.91	22.21	13.91	3	3	2	3	1
2259	12.87	12.87	12.87	4	3	2	2	1
2260	12.62	12.62	12.62	2	2	2	1	1
2261	12.62	12.62	12.62	2	2	2	1	1
2262	31.23	31.23	31.23	4	2	2	3	2
2263	3.55	98.23	3.55	2	3	2	1	1
2264	39.79	39.79	39.79	5	2	2	3	3
2265	15.89	33.33	15.89	3	3	2	2	1
2266	5.08	5.08	5.08	2	2	2	2	1
2267	14.5	55.42	14.5	3	4	2	2	1
2268	10.35	18.65	10.35	2	3	2	2	1
2269	23.22	23.22	23.22	5	2	2	3	2
2270	24.61	24.61	24.61	5	2	2	3	2
2271	14.5	14.5	14.5	3	2	2	2	1
2272	20.97	38.41	20.97	4	3	2	3	2
2273	27.67	56.67	27.67	3	3	2	3	2
2274	50.89	50.89	50.89	7	2	2	1	3
2275	19.67	19.67	19.67	4	2	2	3	2
2276	21.06	48.88	21.06	4	3	2	2	2
2277	20.97	66.91	20.97	4	3	2	3	2
2278	27.67	34.79	27.67	3	3	2	3	2
2279	12.62	12.62	12.62	2	2	2	1	1
2280	12.87	12.87	12.87	4	3	2	2	1
2281	16.82	71.06	16.82	3	4	2	3	1
2282	15.05	69.29	15.05	2	3	2	2	1
2283	22.97	41.61	22.97	3	4	2	2	2
2284	18.06	69.14	18.06	4	4	2	3	2
2285	32.29	32.29	32.29	5	2	2	3	2
2286	27.12	68.04	27.12	4	4	2	1	2
2287	25.65	25.65	25.65	4	2	2	1	2
2288	18.06	69.14	18.06	4	4	2	3	2
2289	13.91	22.21	13.91	3	3	2	3	1
2290	5.08	54.3	5.08	2	3	2	2	1
2291	23.23	78.57	23.23	5	3	2	2	2
2292	49.76	58.06	49.76	5	3	2	3	3
2293	15.05	47.41	15.05	2	4	2	2	1
2294	47.34	47.34	47.34	6	2	2	2	3
2295	20.97	38.41	20.97	4	3	2	3	2
2296	38.02	38.02	38.02	4	2	2	1	3
2297	24.61	24.61	24.61	5	2	2	3	2
2298	15.89	15.89	15.89	3	2	2	2	1
2299	5.08	54.3	5.08	2	3	2	2	1
2300	10.35	18.65	10.35	2	3	2	2	1
2301	15.05	69.29	15.05	2	3	2	2	1
2302	47.34	47.34	47.34	6	2	2	2	3
2303	15.05	69.29	15.05	2	3	2	2	1
2304	16.82	35.46	16.82	3	3	2	3	1
2305	19.67	19.67	19.67	4	2	2	3	2
2306	15.89	33.33	15.89	3	3	2	2	1
2307	16.82	35.46	16.82	3	3	2	3	1
2308	16.18	16.18	16.18	3	3	2	2	1
2309	21.06	28.16	21.06	4	3	2	2	2
2310	50.89	50.89	50.89	7	2	2	1	3
2311	8.72	8.72	8.72	3	2	2	2	1
2312	31.23	31.23	31.23	4	2	2	3	2
2313	15.89	15.89	15.89	3	2	2	2	1
2314	18.06	69.14	18.06	4	4	2	3	2
2315	27.67	34.79	27.67	3	3	2	3	2
2316	30.73	30.73	30.73	5	2	2	1	2
2317	29.69	29.69	29.69	6	2	2	2	2
2318	19.67	19.67	19.67	4	2	2	3	2
2319	47.34	47.34	47.34	6	2	2	2	3
2320	3.56	3.56	3.56	2	2	2	2	1
2321	5.17	12.27	5.17	2	3	2	3	1
2322	5.08	54.3	5.08	2	3	2	2	1
2323	39.79	39.79	39.79	5	2	2	3	3
2324	3.56	42.9	3.56	2	3	2	2	1
2325	3.56	42.9	3.56	2	3	2	2	1
2326	22.97	31.27	22.97	3	3	2	2	2
2327	18.06	18.06	18.06	4	2	2	3	2
2328	19.67	19.67	19.67	4	2	2	3	2
2329	9.32	9.32	9.32	3	2	2	2	1
2330	29.69	29.69	29.69	6	2	2	2	2
2331	30.73	104.71	30.73	5	4	2	1	2
2332	8.72	8.72	8.72	3	2	2	2	1
2333	49.76	56.88	49.76	5	3	2	3	3
2334	49.76	56.88	49.76	5	3	2	3	3
2335	23.23	78.57	23.23	5	3	2	2	2
2336	47.34	47.34	47.34	6	2	2	2	3
2337	15.89	33.33	15.89	3	3	2	2	1
2338	26.78	82.12	26.78	6	3	2	2	2
2339	23.22	46.7	23.22	5	3	2	3	2
2340	27.12	68.04	27.12	4	4	2	1	2
2341	20.97	66.91	20.97	4	3	2	3	2
2342	49.76	56.88	49.76	5	3	2	3	3
2343	27.67	34.79	27.67	3	3	2	3	2
2344	21.06	48.88	21.06	4	3	2	2	2
2345	35.84	59.32	35.84	6	3	2	3	3
2346	5.17	34.17	5.17	2	3	2	3	1
2347	11.74	58.2	11.74	2	4	2	3	1
2348	20.97	38.41	20.97	4	3	2	3	2
2349	15.89	33.33	15.89	3	3	2	2	1
2350	21.06	48.88	21.06	4	3	2	2	2
2351	54.84	109.08	54.84	6	4	2	2	3
2352	5.08	5.08	5.08	2	2	2	2	1
2353	22.09	22.09	22.09	3	2	2	1	2
2354	23.22	46.7	23.22	5	3	2	3	2
2355	54.84	109.08	54.84	6	4	2	2	3
2356	23.22	46.7	23.22	5	3	2	3	2
2357	35.84	59.32	35.84	6	3	2	3	3
2358	35.84	35.84	35.84	6	3	2	3	3
2359	15.89	15.89	15.89	3	2	2	2	1
2360	16.18	70.52	16.18	3	3	2	2	1
2361	54.84	109.08	54.84	6	4	2	2	3
2362	9.32	38.32	9.32	3	4	2	2	1
2363	3.55	98.23	3.55	2	3	2	1	1
2364	11.74	58.2	11.74	2	4	2	3	1
2365	5.17	34.17	5.17	2	3	2	3	1
2366	15.05	69.29	15.05	2	3	2	2	1
2367	25.65	85.03	25.65	4	4	2	1	2
2368	12.87	12.87	12.87	4	3	2	2	1
2369	5.17	34.17	5.17	2	3	2	3	1
2370	34.71	34.71	34.71	4	2	2	2	3
2371	13.91	22.21	13.91	3	3	2	3	1
2372	49.76	58.06	49.76	5	3	2	3	3
2373	35.84	35.84	35.84	6	3	2	3	3
2374	38.02	46.32	38.02	4	3	2	1	3
2375	38.02	38.02	38.02	4	2	2	1	3
2376	49.76	56.88	49.76	5	3	2	3	3
2377	20.97	38.41	20.97	4	3	2	3	2
2378	9.32	9.32	9.32	3	2	2	2	1
2379	30.73	104.71	30.73	5	4	2	1	2
2380	5.08	5.08	5.08	2	2	2	2	1
2381	27.17	45.81	27.17	4	3	2	2	2
2382	23.22	46.7	23.22	5	3	2	3	2
2383	23.23	23.23	23.23	5	2	2	2	2
2384	11.74	20.04	11.74	2	3	2	3	1
2385	25.65	25.65	25.65	4	2	2	1	2
2386	47.34	47.34	47.34	6	2	2	2	3
2387	54.84	73.48	54.84	6	3	2	2	3
2388	15.05	69.29	15.05	2	3	2	2	1
2389	12.87	12.87	12.87	4	2	2	2	1
2390	18.06	69.14	18.06	4	4	2	3	2
2391	8.72	8.72	8.72	3	2	2	2	1
2392	47.34	47.34	47.34	6	2	2	2	3
2393	8.72	8.72	8.72	3	2	2	2	1
2394	22.09	68.55	22.09	3	4	2	1	2
2395	47.34	47.34	47.34	6	2	2	2	3
2396	27.17	27.17	27.17	4	3	2	2	2
2397	23.22	23.22	23.22	5	2	2	3	2
2398	12.62	66.96	12.62	2	4	2	1	1
2399	22.97	31.27	22.97	3	3	2	2	2
2400	19.67	19.67	19.67	4	2	2	3	2
2401	16.82	35.46	16.82	3	3	2	3	1
2402	50.89	50.89	50.89	7	3	2	1	3
2403	9.32	38.32	9.32	3	4	2	2	1
2404	49.76	56.88	49.76	5	3	2	3	3
2405	4.15	43.49	4.15	2	4	2	1	1
2406	4.15	4.15	4.15	2	2	2	1	1
2407	8.72	8.72	8.72	3	2	2	2	1
2408	23.23	23.23	23.23	5	2	2	2	2
2409	29.69	29.69	29.69	6	2	2	2	2
2410	31.23	31.23	31.23	4	2	2	3	2
2411	50.89	50.89	50.89	7	3	2	1	3
2412	3.56	3.56	3.56	2	2	2	2	1
2413	15.89	33.33	15.89	3	3	2	2	1
2414	20.97	38.41	20.97	4	3	2	3	2
2415	35.84	35.84	35.84	6	3	2	3	3
2416	15.89	15.89	15.89	3	2	2	2	1
2417	5.17	34.17	5.17	2	3	2	3	1
2418	3.56	42.9	3.56	2	3	2	2	1
2419	21.06	48.88	21.06	4	3	2	2	2
2420	21.06	28.16	21.06	4	3	2	2	2
2421	30.73	30.73	30.73	5	2	2	1	2
2422	31.23	31.23	31.23	4	2	2	3	2
2423	11.74	58.2	11.74	2	4	2	3	1
2424	35.84	59.32	35.84	6	3	2	3	3
2425	15.05	69.29	15.05	2	3	2	2	1
2426	5.17	12.27	5.17	2	3	2	3	1
2427	21.06	28.16	21.06	4	3	2	2	2
2428	13.91	22.21	13.91	3	3	2	3	1
2429	14.5	55.42	14.5	3	4	2	2	1
2430	29.69	29.69	29.69	6	2	2	2	2
2431	18.06	18.06	18.06	4	2	2	3	2
2432	3.55	98.23	3.55	2	3	2	1	1
2433	12.62	12.62	12.62	2	2	2	1	1
2434	12.62	12.62	12.62	2	2	2	1	1
2435	13.91	22.21	13.91	3	3	2	3	1
2436	21.06	28.16	21.06	4	3	2	2	2
2437	34.71	44.87	34.71	4	3	2	2	3
2438	8.72	8.72	8.72	3	2	2	2	1
2439	26.78	82.12	26.78	6	3	2	2	2
2440	27.17	27.17	27.17	4	3	2	2	2
2441	54.84	73.48	54.84	6	3	2	2	3
2442	5.17	12.27	5.17	2	3	2	3	1
2443	9.32	38.32	9.32	3	4	2	2	1
2444	24.61	24.61	24.61	5	2	2	3	2
2445	35.84	59.32	35.84	6	3	2	3	3
2446	26.14	33.24	26.14	5	3	2	1	2
2447	15.05	47.41	15.05	2	4	2	2	1
2448	19.67	19.67	19.67	4	2	2	3	2
2449	42.17	42.17	42.17	5	2	2	2	3
2450	11.74	58.2	11.74	2	4	2	3	1
2451	23.22	46.7	23.22	5	3	2	3	2
2452	8.72	8.72	8.72	3	2	2	2	1
2453	54.84	73.48	54.84	6	3	2	2	3
2454	8.72	8.72	8.72	3	2	2	2	1
2455	12.87	12.87	12.87	4	3	2	2	1
2456	3.55	98.23	3.55	2	3	2	1	1
2457	18.06	18.06	18.06	4	2	2	3	2
2458	31.23	31.23	31.23	4	2	2	3	2
2459	50.89	50.89	50.89	7	2	2	1	3
2460	22.97	31.27	22.97	3	3	2	2	2
2461	34.71	34.71	34.71	4	2	2	2	3
2462	11.74	20.04	11.74	2	3	2	3	1
2463	24.61	24.61	24.61	5	2	2	3	2
2464	42.17	42.17	42.17	5	2	2	2	3
2465	27.12	68.04	27.12	4	4	2	1	2
2466	16.82	71.06	16.82	3	4	2	3	1
2467	49.76	56.88	49.76	5	3	2	3	3
2468	29.69	29.69	29.69	6	2	2	2	2
2469	16.82	71.06	16.82	3	4	2	3	1
2470	16.18	16.18	16.18	3	3	2	2	1
2471	42.17	42.17	42.17	5	2	2	2	3
2472	42.17	42.17	42.17	5	2	2	2	3
2473	42.17	42.17	42.17	5	2	2	2	3
2474	16.82	35.46	16.82	3	3	2	3	1
2475	10.35	18.65	10.35	2	3	2	2	1
2476	49.76	56.88	49.76	5	3	2	3	3
2477	4.15	43.49	4.15	2	4	2	1	1
2478	22.09	68.55	22.09	3	4	2	1	2
2479	27.12	27.12	27.12	4	2	2	1	2
2480	25.65	85.03	25.65	4	4	2	1	2
2481	12.87	12.87	12.87	4	3	2	2	1
2482	16.18	16.18	16.18	3	3	2	2	1
2483	22.97	31.27	22.97	3	3	2	2	2
2484	11.74	20.04	11.74	2	3	2	3	1
2485	27.17	45.81	27.17	4	3	2	2	2
2486	50.89	50.89	50.89	7	2	2	1	3
2487	54.84	109.08	54.84	6	4	2	2	3
2488	35.84	35.84	35.84	6	3	2	3	3
2489	49.76	58.06	49.76	5	3	2	3	3
2490	50.89	50.89	50.89	7	3	2	1	3
2491	9.32	38.32	9.32	3	4	2	2	1
2492	34.71	44.87	34.71	4	3	2	2	3
2493	16.18	16.18	16.18	3	3	2	2	1
2494	38.02	46.32	38.02	4	3	2	1	3
2495	3.55	98.23	3.55	2	3	2	1	1
2496	26.14	33.24	26.14	5	3	2	1	2
2497	25.65	85.03	25.65	4	4	2	1	2
2498	42.17	42.17	42.17	5	2	2	2	3
2499	21.06	28.16	21.06	4	3	2	2	2
2500	9.32	9.32	9.32	3	2	2	2	1
2501	42.17	42.17	42.17	5	2	2	2	3
2502	13.91	22.21	13.91	3	3	2	3	1
2503	35.84	59.32	35.84	6	3	2	3	3
2504	35.84	35.84	35.84	6	3	2	3	3
2505	47.34	47.34	47.34	6	2	2	2	3
2506	27.67	34.79	27.67	3	3	2	3	2
2507	47.34	47.34	47.34	6	2	2	2	3
2508	16.82	71.06	16.82	3	4	2	3	1
2509	29.69	29.69	29.69	6	2	2	2	2
2510	32.29	32.29	32.29	5	3	2	3	2
2511	31.23	31.23	31.23	4	2	2	3	2
2512	34.71	44.87	34.71	4	3	2	2	3
2513	4.15	43.49	4.15	2	4	2	1	1
2514	16.82	71.06	16.82	3	4	2	3	1
2515	4.15	4.15	4.15	2	2	2	1	1
2516	39.79	39.79	39.79	5	2	2	3	3
2517	12.87	12.87	12.87	4	2	2	2	1
2518	16.82	71.06	16.82	3	4	2	3	1
2519	35.84	35.84	35.84	6	3	2	3	3
2520	35.84	59.32	35.84	6	3	2	3	3
2521	5.08	5.08	5.08	2	2	2	2	1
2522	30.73	104.71	30.73	5	4	2	1	2
2523	3.55	3.55	3.55	2	2	2	1	1
2524	27.67	34.79	27.67	3	3	2	3	2
2525	13.91	32.55	13.91	3	3	2	3	1
2526	26.78	82.12	26.78	6	3	2	2	2
2527	3.56	42.9	3.56	2	3	2	2	1
2528	16.18	70.52	16.18	3	3	2	2	1
2529	39.79	39.79	39.79	5	2	2	3	3
2530	27.12	68.04	27.12	4	4	2	1	2
2531	21.06	48.88	21.06	4	3	2	2	2
2532	24.61	24.61	24.61	5	2	2	3	2
2533	54.84	73.48	54.84	6	3	2	2	3
2534	25.65	25.65	25.65	4	2	2	1	2
2535	10.35	28.99	10.35	2	3	2	2	1
2536	16.82	71.06	16.82	3	4	2	3	1
2537	5.17	34.17	5.17	2	3	2	3	1
2538	19.67	19.67	19.67	4	2	2	3	2
2539	4.15	4.15	4.15	2	2	2	1	1
2540	26.78	82.12	26.78	6	3	2	2	2
2541	21.06	28.16	21.06	4	3	2	2	2
2542	5.08	5.08	5.08	2	2	2	2	1
2543	3.56	42.9	3.56	2	3	2	2	1
2544	20.97	66.91	20.97	4	3	2	3	2
2545	29.69	29.69	29.69	6	2	2	2	2
2546	22.09	22.09	22.09	3	2	2	1	2
2547	35.84	35.84	35.84	6	3	2	3	3
2548	54.84	73.48	54.84	6	3	2	2	3
2549	10.35	28.99	10.35	2	3	2	2	1
2550	9.32	38.32	9.32	3	4	2	2	1
2551	3.56	3.56	3.56	2	2	2	2	1
2552	15.05	47.41	15.05	2	4	2	2	1
2553	23.22	23.22	23.22	5	2	2	3	2
2554	49.76	56.88	49.76	5	3	2	3	3
2555	12.87	12.87	12.87	4	3	2	2	1
2556	15.89	15.89	15.89	3	2	2	2	1
2557	5.17	34.17	5.17	2	3	2	3	1
2558	3.56	3.56	3.56	2	2	2	2	1
2559	35.84	35.84	35.84	6	3	2	3	3
