sc	rl	cl	kl	rh	ch	kh
0	51.15	87.13	6001.61	13	3	133
1	44.21	169.61	17622.89	10	5	391
2	37.99	156.65	3738.63	11	4	83
3	53.47	424.89	1951.49	8	10	49
4	38.75	95.27	13738.89	10	5	306
5	60.98	248.06	3924.8	12	5	87
6	31.09	152.69	12420.41	11	4	291
7	27.22	315.2	3375.14	11	7	78
8	60.97	306.65	5589.45	12	7	127
9	14.13	206.43	1350.41	7	6	31
10	38.55	90.25	1750.27	10	3	38
11	50.16	210.88	9096.36	12	5	219
12	41.2	243.14	152.38	13	6	4
13	56.99	98.89	651.31	10	4	18
14	23.08	256.9	23.08	8	7	2
15	21.04	224.66	4078.26	9	6	89
16	29.72	58.38	29.72	10	3	2
17	42.21	229.37	444.67	8	7	14
18	40.35	307.83	40.35	10	8	2
19	42.23	201.55	3761.17	12	7	84
20	75.74	224.54	1484.34	14	5	37
21	55.23	206.41	135.23	12	5	4
22	78.84	135.94	8622.68	20	5	212
23	15.86	276.56	1604.44	6	8	47
24	11.72	308.92	3804.52	8	7	84
25	55.88	121.5	2425.26	14	5	59
26	29.56	195.94	29.56	11	5	2
27	32.41	391.33	2568.65	10	8	63
28	49.78	49.78	2759.86	10	2	63
29	61.41	150.19	108.51	14	4	4
30	30.73	149.65	217.23	12	4	8
31	57.9	126.98	1559.48	11	4	39
32	35.1	227.76	35.1	10	6	2
33	33.68	317.94	3516.24	9	8	82
34	69.32	326.72	69.32	16	9	2
35	28.77	132.43	39.25	6	5	3
36	39.87	153.97	90.03	12	5	3
37	50.27	70.91	2370.17	14	3	54
38	9.36	308.46	4260.8	7	6	98
39	44.12	238.84	44.12	14	6	2
40	13.14	279.14	1056.28	9	7	22
41	40.25	218.03	974.63	12	7	24
42	61.3	89.06	160.1	14	3	4
43	29.25	165.43	3375.11	9	5	82
44	55.07	269.03	114.55	13	6	4
45	72.84	176.5	115.7	15	7	4
46	31.32	211.96	484.84	10	5	11
47	55.85	210.77	152.87	12	5	4
48	38.61	103.21	43.89	10	3	3
49	69.04	208.22	3321.48	16	6	81
50	76.73	229.77	393.81	17	6	12
51	29.86	258.06	29.86	8	7	2
52	47.38	264.94	3757.32	10	7	84
53	46.68	77.08	1226.8	11	4	28
54	53.77	275.51	53.77	11	7	2
55	52.98	290.3	265.9	14	6	5
56	15.06	216.4	904.18	10	6	18
57	28.27	199.57	879.85	8	6	23
58	19.25	206.83	923.43	7	6	23
59	53.11	222.11	62.07	17	7	3
60	47.33	126.63	3339.41	16	5	79
61	31.5	31.5	243.22	10	2	7
62	24.77	228.37	3823.83	8	6	84
63	56.1	387.72	181.46	13	7	7
64	29.38	261.74	4123.44	13	8	96
65	16.62	243.52	3815.68	8	8	84
66	35.74	70.7	99.16	9	3	3
67	4.08	278.42	3733.62	5	6	87
68	63.26	206.08	690.2	15	5	16
69	14.53	147.71	502.35	7	5	10
70	47.23	261.03	47.23	11	6	2
71	56.15	144.43	56.15	15	6	2
72	28.77	279.75	532.67	9	8	12
73	33.31	139.25	417.03	9	3	10
74	1.03	16.71	2104.43	2	3	45
75	63.42	210.68	2701.92	14	6	62
76	19.59	95.99	376.19	9	5	8
77	6.07	355.11	134.71	6	8	3
78	62.81	255.81	368.31	13	7	8
79	60.99	354.59	3976.35	15	9	89
80	73.94	138.7	93.22	15	4	3
81	16.17	123.49	3498.03	7	4	85
82	54.32	199.96	54.32	14	6	2
83	42.0	242.6	298.66	9	7	6
84	62.57	96.81	132.87	15	4	3
85	32.0	202.86	2379.36	12	7	56
86	61.73	220.01	735.01	19	6	15
87	44.23	139.99	44.23	11	5	2
88	50.91	214.91	510.17	11	7	15
89	39.69	273.97	39.69	10	7	2
90	33.05	284.93	790.17	8	8	19
91	54.59	202.19	73.87	11	7	3
92	76.89	220.11	102.39	16	6	3
93	54.57	244.11	1656.35	13	6	38
94	18.12	170.94	88.42	10	6	3
95	73.7	85.78	292.54	17	3	7
96	56.63	127.65	616.59	15	4	18
97	36.82	309.44	168.14	9	7	4
98	4.42	304.46	361.76	4	8	9
99	43.32	177.98	438.68	15	5	9
100	22.67	138.89	595.85	10	5	13
101	42.51	192.21	3569.39	13	4	85
102	35.76	85.16	933.26	15	3	24
103	39.29	270.91	39.29	11	8	2
104	31.0	275.0	81.16	10	6	3
105	52.13	167.61	606.69	15	6	18
106	70.7	378.76	70.7	16	9	2
107	49.01	163.17	116.93	14	5	4
108	31.58	260.8	3193.08	7	7	73
109	37.14	288.72	2952.06	7	8	63
110	19.99	110.41	404.07	6	4	10
111	56.67	163.67	56.67	12	6	2
112	47.52	196.24	429.0	12	6	11
113	40.3	93.68	1592.34	7	3	35
114	75.15	262.73	2662.41	19	7	63
115	59.02	111.78	95.02	11	4	3
116	81.74	236.48	81.74	15	8	2
117	12.46	123.6	2490.04	6	5	59
118	2.02	222.68	88.72	4	6	3
119	44.62	353.4	1608.04	13	8	41
120	36.27	150.81	36.27	16	4	2
121	76.53	348.29	104.05	18	8	3
122	21.41	284.25	643.11	10	8	20
123	36.79	232.39	97.33	11	6	4
124	55.5	235.1	1459.4	11	7	34
125	55.55	243.61	372.59	10	6	11
126	49.96	201.3	572.6	11	5	12
127	57.07	70.01	1362.05	10	4	35
128	31.11	325.83	1018.67	11	6	26
129	36.96	180.2	111.18	14	5	5
130	41.1	214.52	740.3	11	5	19
